feature,importance_rf
V21,0.09031943173523303
V5,0.07047170061174468
V20,0.06544033281093295
V12,0.05036785543970291
V23,0.04922798228300907
V6,0.04103759229140951
V22,0.03841719029586101
V15,0.0362822230012623
V10,0.035733504316945525
V9,0.03567692754934668
V24,0.03399713491567372
V26,0.03389081585149874
V7,0.033382074218585064
V27,0.031567604861157283
V13,0.02933075735783269
V19,0.029110699722381186
V8,0.02908660053928849
V1,0.028452721699391708
V3,0.028182856416242987
V2,0.028052250008450918
V18,0.02790686730958975
V14,0.027405067478938568
V11,0.027277798795743192
V16,0.026751053402376806
V25,0.02491148783421236
V17,0.024554459643860566
V4,0.02316500960932808
