feature,importance_rf
V51,0.04393928451648638
V55,0.043549607089449195
V31,0.03973038248290625
V34,0.03851788736186798
V52,0.03699254838271214
V29,0.03587246048931775
V9,0.03549092666124212
V39,0.03423043674296775
V58,0.033427637751389364
V32,0.032597691095423806
V28,0.03161512649289531
V5,0.029700464822622945
V2,0.02926749713468175
V19,0.02881416236944444
V17,0.027920306416826232
V20,0.026566150543046407
V16,0.024117154070818162
V1,0.023494488973865312
V36,0.023146719712545148
V26,0.020022611502348138
V21,0.02000924783820892
V44,0.019469007154778038
V12,0.018644376587487067
V13,0.01707881454985678
V22,0.016870776818344965
V48,0.016529512380017475
V38,0.01580652122489783
V40,0.01557399927303839
V45,0.015371705054500995
V10,0.01522360412323346
V47,0.014951884921292949
V43,0.014239249156165004
V59,0.013813520758363826
V60,0.01308277435379656
V7,0.012593237755211676
V49,0.012494410126009351
V11,0.011484974073436746
V8,0.010445775314848521
V25,0.010422342478619255
V50,0.009063388317785852
V15,0.008279653643083864
V53,0.008061696787854088
V4,0.007015154634451525
V41,0.005962920164693052
V46,0.005798386110499329
V57,0.005787204510279491
V56,0.005524388328634905
V42,0.0052866935007676915
V30,0.004802379742266422
V23,0.004593617691073486
V18,0.0033368632003800513
V24,0.003306669701733235
V3,3.576412038907798e-05
V6,2.5940991143578607e-05
V54,0.0
V33,0.0
V27,0.0
V14,0.0
V37,0.0
V35,0.0
